,client_id,date_order,quantity,sales_net,data_order_year_2017,data_order_year_2018,data_order_year_2019,data_order_quarter_1,data_order_quarter_2,data_order_quarter_3,data_order_quarter_4
35827902,1440765,2018-11-13,0.000111123445,25.484,0,1,0,0,0,0,1
53014488,845148,2019-06-10,0.0,6.6516,0,0,1,0,1,0,0
10455970,480303,2018-01-12,0.0010001111,68.3928,0,1,0,1,0,0,0
31420886,804156,2018-09-25,0.0,172.9692,0,1,0,0,0,1,0
51803191,1923725,2019-05-21,0.0,124.5588,0,0,1,0,1,0,0
37128445,2202912,2018-11-27,0.0032225805,762.5773,0,1,0,0,0,0,1
37421219,2063897,2018-11-29,0.00033337035,9.7704,0,1,0,0,0,0,1
41869043,1447354,2019-01-22,0.016557395,234.0897,0,0,1,1,0,0,0
40187292,684859,2018-12-31,0.00055561727,214.2036,0,1,0,0,0,0,1
12337422,1233833,2018-02-14,0.0,22.08,0,1,0,1,0,0,0
7888639,1773331,2017-12-21,0.0,21.252,1,0,0,0,0,0,1
46501438,687584,2019-03-18,0.00044449384,51.42984,0,0,1,1,0,0,0
22057875,671933,2018-06-12,0.00022224693,40.529068,0,1,0,0,1,0,0
35951,80685,2017-09-26,0.0,2.2908,1,0,0,0,0,1,0
60381620,1747377,2019-07-25,0.00022224693,310.32214,0,0,1,0,0,1,0
17141538,539270,2018-04-10,0.0,80.4816,0,1,0,0,1,0,0
51547210,1600974,2019-05-16,0.0,0.0552,0,0,1,0,1,0,0
59511301,1879498,2019-08-15,0.00033337035,71.0424,0,0,1,0,0,1,0
37303761,6267,2018-11-29,0.0,18.2988,0,1,0,0,0,0,1
21527470,1335975,2018-06-08,0.0,70.3524,0,1,0,0,1,0,0
23022397,893111,2018-06-22,0.00055561727,3.7674,0,1,0,0,1,0,0
4058787,1990615,2017-11-10,0.00044449384,86.8296,1,0,0,0,0,0,1
30945808,1667347,2018-09-14,0.00044449384,25.36072,0,1,0,0,0,1,0
30210961,1834997,2018-08-14,0.0,9.1908,0,1,0,0,0,1,0
21627906,2261637,2018-06-08,0.0,3.3672,0,1,0,0,1,0,0
27943461,1039875,2018-08-10,0.00022224693,198.9316,0,1,0,0,0,1,0
57904322,158944,2019-07-30,0.00044449384,12.56904,0,0,1,0,0,1,0
49627920,1982568,2019-04-18,0.0043338146,41.7312,0,0,1,0,1,0,0
49102986,138939,2019-04-15,0.0,2.9532,0,0,1,0,1,0,0
16268346,900449,2018-03-23,0.00033337035,23.2461,0,1,0,1,0,0,0
38176643,1094636,2018-12-06,0.000111123445,11.569,0,1,0,0,0,0,1
3207943,1452254,2017-11-02,0.006778531,297.10806,1,0,0,0,0,0,1
3628995,283373,2017-11-07,0.0,8.8596,1,0,0,0,0,0,1
14582296,117378,2018-03-08,0.00033337035,23.4945,0,1,0,1,0,0,0
45088092,365896,2019-03-01,0.00044449384,27.66808,0,0,1,1,0,0,0
46017261,997385,2019-03-13,0.0,348.0912,0,0,1,1,0,0,0
38942059,1823204,2018-12-19,0.000111123445,264.96,0,1,0,0,0,0,1
47877222,370762,2019-04-01,0.00066674076,12.321428,0,0,1,0,1,0,0
23211876,1752962,2018-06-26,0.00033337035,8.4663,0,1,0,0,1,0,0
62748906,1546074,2019-09-20,0.000111123445,33.212,0,0,1,0,0,1,0
4346162,339007,2017-11-14,0.00033337035,65.5776,1,0,0,0,0,0,1
54512547,1275836,2019-06-21,0.0,17.0568,0,0,1,0,1,0,0
44039398,2035657,2019-02-18,0.00022224693,54.181866,0,0,1,1,0,0,0
3890155,1488213,2017-11-08,0.00033337035,1.242,1,0,0,0,0,0,1
58473841,1723151,2019-08-06,0.000111123445,140.852,0,0,1,0,0,1,0
53428770,1593537,2019-06-14,0.0,98.3388,0,0,1,0,1,0,0
27714472,2049077,2018-08-06,0.0,10.2396,0,1,0,0,0,1,0
17621008,1095289,2018-04-12,0.0010001111,402.20377,0,1,0,0,1,0,0
